5.4992e+07,3,1,5,5.4993e+07
5.4993e+07,4,4,1,NaN
5.5006e+07,1,1,5,5.5007e+07
5.5007e+07,2,2,4,NaN
5.5016e+07,3,4,1,NaN
5.5051e+07,4,3,5,5.5052e+07
5.5052e+07,1,2,5,5.5053e+07
5.5053e+07,2,1,5,5.5054e+07
5.5054e+07,3,3,5,5.5055e+07
5.5055e+07,4,1,5,5.5056e+07
5.5056e+07,1,2,4,NaN
5.5058e+07,2,2,5,5.5059e+07
5.5059e+07,3,2,5,5.506e+07
5.506e+07,4,2,5,5.506e+07
5.506e+07,1,4,1,NaN
5.5078e+07,2,1,5,5.5079e+07
5.5079e+07,3,2,5,5.508e+07
5.508e+07,4,4,1,NaN
5.5114e+07,1,3,1,NaN
5.5172e+07,2,4,1,NaN
5.5195e+07,3,3,5,5.5197e+07
5.5197e+07,4,4,1,NaN
5.5213e+07,1,1,5,5.5214e+07
5.5214e+07,2,2,3,NaN
5.5246e+07,3,4,5,5.5248e+07
5.5248e+07,4,1,5,5.5249e+07
5.5249e+07,1,2,4,NaN
5.5252e+07,2,4,1,NaN
5.5284e+07,3,3,5,5.5285e+07
5.5286e+07,4,2,5,5.5286e+07
5.5286e+07,1,3,1,NaN
5.5316e+07,2,2,5,5.5318e+07
5.5318e+07,3,3,1,NaN
5.5352e+07,4,2,4,NaN
5.5353e+07,1,2,4,NaN
5.5355e+07,2,2,1,NaN
5.5401e+07,3,4,5,5.5402e+07
5.5402e+07,4,1,5,5.5403e+07
5.5403e+07,1,2,3,NaN
5.5417e+07,2,4,1,NaN
5.5504e+07,3,3,5,5.5505e+07
5.5505e+07,4,2,5,5.5506e+07
5.5506e+07,1,3,1,NaN
5.5527e+07,2,1,5,5.5529e+07
5.5529e+07,3,4,1,NaN
5.5604e+07,4,2,3,NaN
5.5613e+07,1,3,1,NaN
5.5629e+07,2,3,1,NaN
5.5673e+07,3,4,5,5.5673e+07
5.5726e+07,4,1,5,5.5727e+07
5.5727e+07,1,1,5,5.5729e+07
5.5729e+07,2,3,1,NaN
5.5783e+07,3,2,5,5.5784e+07
5.5797e+07,4,1,5,5.5799e+07
5.5799e+07,1,2,4,NaN
5.5874e+07,2,2,4,NaN
5.5877e+07,3,3,1,NaN
5.5901e+07,4,3,5,5.5904e+07
5.5904e+07,1,1,5,5.5906e+07
5.5906e+07,2,3,4,NaN
5.5914e+07,3,3,3,NaN
5.5939e+07,4,3,1,NaN
5.5999e+07,1,1,4,NaN
5.6042e+07,2,4,1,NaN
5.6064e+07,3,4,4,NaN
5.6071e+07,4,4,1,NaN
5.6174e+07,1,1,5,5.6175e+07
5.6175e+07,2,1,5,5.6176e+07
5.6176e+07,3,2,5,5.6177e+07
5.6177e+07,4,1,5,5.6178e+07
5.6178e+07,1,4,1,NaN
5.621e+07,2,1,4,NaN
5.6221e+07,3,1,4,NaN
5.623e+07,4,2,4,NaN
5.6232e+07,1,4,1,NaN
5.6412e+07,2,3,1,NaN
5.6433e+07,3,1,5,5.6434e+07
5.6434e+07,4,2,5,5.6435e+07
5.6435e+07,1,2,1,NaN
5.6511e+07,2,2,5,5.6513e+07
5.6513e+07,3,1,5,5.6514e+07
5.6514e+07,4,3,1,NaN
5.6529e+07,1,3,1,NaN
5.6552e+07,2,2,5,5.6553e+07
5.6553e+07,3,2,5,5.6555e+07
5.6555e+07,4,3,5,5.6556e+07
5.6556e+07,1,3,1,NaN
5.6627e+07,2,3,1,NaN
5.6666e+07,3,3,1,NaN
5.6694e+07,4,3,1,NaN
5.6733e+07,1,4,1,NaN
5.679e+07,2,3,1,NaN
5.6817e+07,3,4,5,5.6818e+07
5.6818e+07,4,1,5,5.6819e+07
5.6819e+07,1,2,3,NaN
5.6829e+07,2,1,5,5.683e+07
5.683e+07,3,2,5,5.6831e+07
5.6831e+07,4,3,1,NaN
5.6862e+07,1,1,5,5.6864e+07
5.6864e+07,2,1,5,5.6864e+07
5.6864e+07,3,1,5,5.6865e+07
5.6865e+07,4,4,1,NaN
5.6888e+07,1,2,5,5.6889e+07
5.6889e+07,2,2,5,5.689e+07
5.689e+07,3,3,1,NaN
5.6924e+07,4,1,5,5.6925e+07
5.6925e+07,1,2,4,NaN
5.6956e+07,2,2,5,5.6958e+07
5.6958e+07,3,1,5,5.6959e+07
5.6959e+07,4,2,5,5.6961e+07
5.6961e+07,1,4,1,NaN
5.7012e+07,2,1,4,NaN
5.7051e+07,3,3,5,5.7052e+07
5.7052e+07,4,3,1,NaN
5.7082e+07,1,2,3,NaN
5.7094e+07,2,2,5,5.7096e+07
5.7096e+07,3,1,5,5.7097e+07
5.7097e+07,4,2,5,5.7098e+07
5.7098e+07,1,1,3,NaN
5.7109e+07,2,3,3,NaN
5.7117e+07,3,2,5,5.7118e+07
5.7118e+07,4,4,1,NaN
5.7231e+07,1,2,5,5.7232e+07
5.7232e+07,2,2,4,NaN
5.7235e+07,3,2,5,5.7236e+07
5.7236e+07,4,3,2,NaN
5.7266e+07,1,2,5,5.7268e+07
5.7268e+07,2,4,1,NaN
5.7293e+07,3,1,5,5.7294e+07
5.7295e+07,4,3,4,NaN
5.7332e+07,1,2,5,5.7333e+07
5.7333e+07,2,2,4,NaN
5.735e+07,3,2,5,5.735e+07
5.7355e+07,4,3,5,5.7359e+07
5.7359e+07,1,2,3,NaN
5.7379e+07,2,2,5,5.738e+07
5.738e+07,3,4,1,NaN
5.741e+07,4,1,3,NaN
5.7507e+07,1,4,1,NaN
5.758e+07,2,1,4,NaN
5.7583e+07,3,2,4,NaN
5.7597e+07,4,3,1,NaN
