FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G
147562,568405.409869667,6,0.0278494784634799,0.0279895804516654,0.0284573271650455,0.0284647279982771
147564,568405.460078652,6,0.0278590086793285,0.0279908024597415,0.0284727019610081,0.028462997354781
147566,568405.510305907,6,0.0278577799408071,0.0279992600419519,0.0284671756789252,0.028465562415677
147568,568405.560532673,6,0.0278629945872148,0.0279941469028969,0.0284704173527727,0.0284610503808478
147570,568405.610761026,6,0.0278511567404847,0.0279894196611291,0.0284672374250937,0.0284629355460847
147572,568405.660989337,6,0.027854483325262,0.0279904165624543,0.0284629769394655,0.028468745563536
147574,568405.71121651,6,0.0278534943405985,0.0279858822693301,0.0284688428254753,0.0284628737373884
147576,568405.761443317,6,0.027847650340314,0.0279760418885074,0.0284645823398471,0.0284608340504108
147578,568405.811671508,6,0.0278504974173757,0.0279953045947584,0.0284627917009599,0.02846534608524
147580,568405.86189685,6,0.0278485494172808,0.0279911240408141,0.0284636561473193,0.0284653769895881
147582,568405.912128824,6,0.0278493286173188,0.0279948543812567,0.0284580063728992,0.028469394554847
147584,568405.962336627,6,0.0278488191403709,0.0279862681666173,0.0284558452570009,0.0284633373026105
147586,568406.012561644,6,0.0278487292326742,0.0279885192341257,0.0284639648781619,0.0284639862939216
147588,568406.062771077,6,0.0278491488019254,0.0279903522462398,0.0284593647886068,0.0284610194764997
147590,568406.112998289,6,0.0278575401869493,0.027991960151603,0.0284675770290206,0.0284654387982844
147592,568406.163225991,6,0.0278607768640299,0.0279850461585412,0.028470448225857,0.028462162937381
147594,568406.213456989,6,0.0278461518787026,0.0279905773529906,0.0284654776592907,0.028465129754803
147596,568406.263684203,6,0.027845162894039,0.027985014000434,0.0284610628082412,0.0284663350243806
147598,568406.313890177,6,0.0278457023402191,0.0279861716922955,0.02845504255681,0.0284619775112922
147600,568406.364120766,6,0.0278471408633661,0.0279843386801814,0.0284645205936786,0.0284679420504842
147602,568406.414328083,6,0.0278539438790819,0.0279892267124855,0.028466095120976,0.0284657169374177
147604,568406.464555825,6,0.0278496582788733,0.0279869434868698,0.0284709730682895,0.0284646043808845
147606,568406.514765706,6,0.0278561016638023,0.0279854642139357,0.0284727945802609,0.0284652224678474
147608,568406.564989459,6,0.0278481897864941,0.0279889694476274,0.0284616185237579,0.0284644807634919
147610,568406.61520178,6,0.0278457922479158,0.0279878439138732,0.0284569258149501,0.0284644807634919
147612,568406.665428913,6,0.0278554723099255,0.0279917993610666,0.028467978379116,0.0284721450418319
147614,568406.715657266,6,0.0278523555097738,0.0279898698746308,0.028456092241675,0.0284650370417585
147616,568406.765881998,6,0.0278520558174515,0.0279937288475025,0.0284658172632176,0.0284680965722249
147618,568406.816094155,6,0.0278541236944753,0.0279955940177238,0.0284717140223117,0.0284664895461214
147620,568406.866322264,6,0.0278461219094703,0.0279877152814441,0.0284549499375573,0.0284560129721001
147622,568406.916529215,6,0.0278552325560677,0.0279912848313504,0.0284597043925337,0.0284655006069807
147624,568406.966758015,6,0.0278510968020202,0.0279939861123606,0.0284568949418658,0.0284619775112922
147626,568407.016985349,6,0.0278590985870252,0.0279904808786688,0.0284642427359202,0.0284625646939069
147628,568407.067194945,6,0.0278617658486935,0.0280030868567163,0.028468688460054,0.0284688691809285
147630,568407.117420124,6,0.0278640435103428,0.028000256943277,0.0284665890903242,0.0284682201896175
147632,568407.167627807,6,0.0278668606181723,0.0279980058757686,0.0284687810793068,0.028475142763602
147634,568407.217858518,6,0.0278550827099066,0.0279906095110979,0.0284574197842982,0.0284680038591805
147636,568407.268086627,6,0.0278632942795371,0.02798964476788,0.0284620507469376,0.0284626883112995
147638,568407.318295734,6,0.0278600576024565,0.0280007071567787,0.0284667743288298,0.0284640171982697
147640,568407.368523152,6,0.0278678196336036,0.0280010930540659,0.0284724858494183,0.0284714960505209
147642,568407.418731199,6,0.0278597878793664,0.0279936645312879,0.0284643044820888,0.0284658405548103
147644,568407.468956663,6,0.0278697076952339,0.0279975556622669,0.0284677622675262,0.0284684056157064
147646,568407.519166177,6,0.0278626349564281,0.0280008036311005,0.0284650145630268,0.0284682510939656
147648,568407.569392252,6,0.0278725248030634,0.0279944363258623,0.0284757892694344,0.0284697654070248
147650,568407.619602456,6,0.0278548429560487,0.0279867505382262,0.0284617728891793,0.0284603395808405
147652,568407.669829588,6,0.0278628447410537,0.0279872007517279,0.0284628843202127,0.0284604013895368
147654,568407.720040486,6,0.0278526252328639,0.0279893553449146,0.0284680401252845,0.0284658096504622
147656,568407.770288492,6,0.0278565212330535,0.0279839849410015,0.0284722079916599,0.0284654078939363
147658,568407.820495888,6,0.0278416564938683,0.027987940388195,0.0284653232938694,0.0284612358069367
147660,568407.87072416,6,0.0278453427094324,0.0279877474395514,0.0284574506573825,0.0284635536330476
147662,568407.920932575,6,0.0278633242487693,0.0279918958353884,0.0284651689284481,0.0284603704851886
147664,568407.971161172,6,0.0278638936641817,0.0280012860027095,0.028473628153536,0.0284663968330769
147666,568408.02138391,6,0.0278616160025323,0.0279926033137482,0.0284673300443465,0.0284663968330769
147668,568408.071594074,6,0.0278631744026082,0.0280045982877577,0.0284678857598632,0.0284726086070541
147670,568408.121805866,6,0.0278714758799354,0.0280071066201242,0.0284690280639809,0.0284707543461654
147672,568408.172014078,6,0.0278661113873666,0.027997330555516,0.0284623594777802,0.028459597876485
147674,568408.222256347,6,0.0278617358794612,0.0279936645312879,0.0284702938604357,0.0284658096504622
147676,568408.27248893,6,0.0278670704027979,0.0280058846120482,0.0284662803594816,0.0284654697026326
147678,568408.322714679,6,0.0278663211719922,0.027999645939239,0.0284719610069858,0.0284712488157357
147680,568408.372944212,6,0.0278628747102859,0.0279987455122356,0.0284638722589091,0.0284672930591731
147682,568408.423152872,6,0.0278681792643903,0.028004887710723,0.0284722388647442,0.0284689927983211
147684,568408.473380859,6,0.0278647927411485,0.0280070423039097,0.0284681327445373,0.0284720214244394
147686,568408.523589923,6,0.0278703969875752,0.0280033762796816,0.0284668669480826,0.0284653151808918
147688,568408.573818114,6,0.0278634441256982,0.0279973627136233,0.0284647675783527,0.0284620084156403
147690,568408.624022867,6,0.0278653921257931,0.0279980380338758,0.0284693059217393,0.0284644189547956
147692,568408.674253662,6,0.0278632942795371,0.028004276706685,0.0284653232938694,0.028467262154825
147694,568408.724459634,6,0.0278736036954236,0.0280013824770313,0.0284764993503724,0.0284694563635433
147696,568408.774689777,6,0.0278650025257741,0.0280044374972213,0.0284694294140763,0.0284664586417732
147698,568408.824897704,6,0.0278617958179257,0.0279919279934957,0.0284574197842982,0.0284640171982697
147700,568408.875125162,6,0.0278603572947787,0.0280004498919206,0.0284593339155225,0.0284641408156623
147702,568408.925354327,6,0.0278653022180964,0.0279975556622669,0.0284717757684803,0.0284650370417585
147704,568408.975559854,6,0.0278550827099066,0.0279915420962085,0.0284474169049972,0.0284632754939143
147706,568409.025788573,6,0.0278690783413571,0.0280016075837821,0.0284625755893701,0.0284659023635066
147708,568409.075999184,6,0.0278586490485417,0.0280053379242247,0.0284521404868894,0.0284646661895808
147710,568409.126224363,6,0.0278599377255275,0.0280027009594291,0.0284600439964606,0.0284668603982991
147712,568409.176435505,6,0.0278636239410916,0.0280054343985465,0.0284637178934878,0.0284658405548103
147714,568409.226663899,6,0.0278709064645231,0.0280082643119857,0.0284682871099586,0.02847301036358
147716,568409.276891072,6,0.0278643132334329,0.0280046304458649,0.0284633165433924,0.0284614830417218
